Image,Accuracy,Recall,Precision,F1Score,Specificity
1,0.762,0.9262,0.1421,0.2464,0.7548
2,0.8017,0.9395,0.1849,0.309,0.7949
3,0.7953,0.9363,0.1624,0.2768,0.7891
4,0.8021,0.8833,0.1684,0.2829,0.7984
5,0.7734,0.9469,0.1322,0.2321,0.7669
6,0.7698,0.9427,0.1309,0.23,0.7632
7,0.7698,0.9418,0.1693,0.2871,0.7609
8,0.7797,0.8905,0.1618,0.2739,0.7743
9,0.7707,0.9354,0.1741,0.2935,0.7619
10,0.7877,0.8977,0.1593,0.2706,0.7827
11,0.775,0.9069,0.1429,0.2469,0.7694
12,0.7949,0.9037,0.2662,0.4112,0.7855
13,0.7621,0.9304,0.136,0.2373,0.7551
14,0.7983,0.8697,0.2446,0.3818,0.7928
15,0.8132,0.9309,0.1994,0.3285,0.8071
16,0.7456,0.9282,0.17,0.2874,0.735
17,0.8551,0.908,0.2361,0.3747,0.8524
18,0.8067,0.8726,0.1944,0.3179,0.8031
19,0.7615,0.8806,0.149,0.2549,0.7557
20,0.8238,0.9411,0.2796,0.4312,0.8148
